date | value
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2025-02-29 | -1
2011-12-28
2012-01-11 | 1
2012-01-11 | 2147483648
2011-01-04 | -0.5
2011-01-05 | 0
2011-01-06 |
2011-01-07 | apple
2011-01-08 1.23
2011-01-09 | 1000
2011-01-10 | 1000.01
2011-01-11 | 99999999999999999999999999
2011-01-12 | .45
2011-01-13 | 5..2
2011-01-14 | 1 2
2011-01-15 | 1.2.3
2011-01-16 | -
2011-01-17 | +42
2011-02-30 | 1
1999-12-31 | 10
2022-05-16 | 10
2011-01-18 |  5
2011-01-19 |5
           | 1
2011-01-20 | 1
2009-04-15 | 22
